id,name,category,region,my_lat,my_lng,verified_lat,verified_lng,notes
1,Stove,settlement,south mainland,59.952,-1.286,,,
2,Skelberry,settlement,south mainland,59.911,-1.358,,,
3,Maywick,settlement,south mainland,59.961,-1.345,,,
4,Sandwick Bay,voe,south mainland,60.002,-1.230,,,
5,Spiggie Hotel,landmark,south mainland,59.938,-1.345,,,
6,West Voe of Sumburgh,voe,south mainland,59.870,-1.310,,,
7,Pool of Virkie,voe,south mainland,59.885,-1.290,,,
8,Scousburgh Hill,hill,south mainland,59.945,-1.337,,,
9,Catpund,broch,south mainland,60.012,-1.225,,,
10,Catfirth,settlement,central,60.265,-1.123,,,
11,Kergord,settlement,central,60.245,-1.290,,,
12,Houss,settlement,central,60.075,-1.318,,,
13,Sound (Lerwick),settlement,central,60.137,-1.157,,,
14,Easterhoull,settlement,central,60.140,-1.276,,,
15,Havra,island,central,60.075,-1.275,,,
16,Hildasay,island,central,60.130,-1.348,,,
17,Hamna Voe,voe,central,60.087,-1.342,,,
18,Cliff Sound,sound,central,60.083,-1.353,,,
19,Catfirth Voe,voe,central,60.262,-1.115,,,
20,Loch of Hellier,loch,central,60.232,-1.345,,,
21,Loch of Vatsaund,loch,central,60.215,-1.140,,,
22,Loch of Snabrough,loch,central,60.318,-1.385,,,
23,Black Loch,loch,central,60.215,-1.252,,,
24,Sands of Sound,beach,central,60.143,-1.157,,,
25,Eswick Beach,beach,central,60.293,-1.118,,,
26,Royl Field,hill,central,60.080,-1.272,,,
27,Tingaholm,landmark,central,60.197,-1.241,,,
28,Bod of Gremista,landmark,central,60.170,-1.150,,,
29,The Lodberries,landmark,central,60.151,-1.140,,,
30,Twageos,landmark,central,60.150,-1.135,,,
31,Catfirth Seaplane Base,landmark,central,60.262,-1.125,,,
32,Banna Minn,beach,central,60.092,-1.388,,,
33,Voxter,settlement,north mainland,60.343,-1.280,,,
34,Hamarsness,settlement,north mainland,60.405,-1.310,,,
35,Heylor,settlement,north mainland,60.490,-1.483,,,
36,Swarbacks Minn,voe,north mainland,60.350,-1.500,,,
37,Sand Voe,voe,north mainland,60.518,-1.420,,,
38,Roe Sound,sound,north mainland,60.395,-1.435,,,
39,Loch of Houlland,loch,north mainland,60.490,-1.610,,,
40,Otter's Geo,geo,north mainland,60.500,-1.625,,,
41,Da Drongs,geo,north mainland,60.470,-1.585,,,
42,Hellisgill,geo,north mainland,60.480,-1.633,,,
43,Tangwick Haa,landmark,north mainland,60.490,-1.553,,,
44,Lamba,island,north mainland,60.518,-1.190,,,
45,Samphrey,island,north mainland,60.475,-1.123,,,
46,Muckle Roe,island,north mainland,60.380,-1.453,,,
47,Reawick,settlement,west mainland,60.150,-1.432,,,
48,Sandsound,settlement,west mainland,60.205,-1.430,,,
49,Bixter,settlement,west mainland,60.232,-1.430,,,
50,Twatt,settlement,west mainland,60.245,-1.430,,,
51,Tresta (Mainland),settlement,west mainland,60.252,-1.443,,,
52,Vaila,island,west mainland,60.213,-1.628,,,
53,Loch of Watsness,loch,west mainland,60.305,-1.675,,,
54,Stanydale Temple,broch,west mainland,60.232,-1.510,,,
55,Vatsetter,settlement,yell,60.598,-1.022,,,
56,Cunnister,settlement,yell,60.585,-1.010,,,
57,Mailand,settlement,yell,60.692,-1.020,,,
58,Aywick,settlement,yell,60.622,-1.012,,,
59,Otterswick,settlement,yell,60.617,-1.010,,,
60,Sellafirth,settlement,yell,60.670,-0.995,,,
61,West Sandwick,settlement,yell,60.580,-1.150,,,
62,Gloup,settlement,yell,60.733,-1.013,,,
63,Bigga,island,yell,60.553,-1.105,,,
64,Linga (Yell),island,yell,60.523,-1.063,,,
65,Hascosay,island,yell,60.612,-0.998,,,
66,Burra Voe (Yell),voe,yell,60.495,-1.023,,,
67,Loch of Cunnister,loch,yell,60.585,-1.018,,,
68,Hammar,settlement,unst,60.745,-0.882,,,
69,Caddafield,settlement,unst,60.770,-0.840,,,
70,Burrafirth,settlement,unst,60.812,-0.873,,,
71,Uyea,island,unst,60.695,-0.965,,,
72,Mu Ness,headland,unst,60.708,-0.872,,,
73,Lamba Ness,headland,unst,60.815,-0.745,,,
74,Burgi Geos,geo,unst,60.770,-0.953,,,
75,Hill of Colvadale,hill,unst,60.745,-0.900,,,
76,Bordastubble,broch,unst,60.747,-0.928,,,
77,Loch of Skaw,loch,unst,60.832,-0.795,,,
78,Tresta (Fetlar),settlement,fetlar,60.610,-0.855,,,
79,Tresta Voe,voe,fetlar,60.612,-0.852,,,
80,Tresta Beach,beach,fetlar,60.617,-0.857,,,
81,Wick of Tresta,beach,fetlar,60.610,-0.852,,,
82,Hamister,settlement,whalsay,60.357,-1.018,,,
83,Isbister (Whalsay),settlement,whalsay,60.385,-0.945,,,
84,Skaw (Whalsay),settlement,whalsay,60.380,-0.937,,,
85,Bruray,island,out skerries,60.422,-0.747,,,
86,Housay,island,out skerries,60.420,-0.745,,,
87,Bound Skerry,lighthouse,out skerries,60.428,-0.728,,,
88,Kame of Foula,headland,foula,60.137,-2.097,,,
89,Snolda,headland,foula,60.140,-2.080,,,
90,Sneug,hill,foula,60.128,-2.082,,,
91,Lyrawick,beach,foula,60.130,-2.080,,,
92,Sheep Rock,headland,fair isle,59.522,-1.595,,,
93,Ward Hill (Fair Isle),hill,fair isle,59.535,-1.640,,,
