id,vessel_id,measurement_year,length_m,tonnage,tonnage_type,tonnage_text,engine_power_kw,capacity_units,source_record_id,notes
031d8f9a-6ded-5c0e-81b5-131807b0fb67,cdf3a886-bb57-5fcd-bd4a-6946f40c578a,2015,9.44,5.38,registered_tonnage,,40.0,46.886,24ce2d5c-a87d-5ca2-bbce-0d29f60e920e,Official snapshot measurement.
6e5c31ce-db95-5df2-975b-96383bf705a9,042f6ad7-3284-5b3c-91ec-3164bcdfa6e0,2015,7.1,2.84,registered_tonnage,,22.0,30.845,1c6b031e-75cb-5ca1-94a2-733fe96f61f2,Official snapshot measurement.
9c45fdaa-9929-55c4-b0ae-d1968f2eb3a4,2c1e8707-ff69-5231-afe5-7c35cf7e26c1,2015,5.72,1.23,registered_tonnage,,18.4,19.548,b6c588f8-ea5b-5b29-b0a1-4797bed69f47,Official snapshot measurement.
ce84f86e-a7ee-572e-afa3-36b3ae2daeef,e4e8cfdf-5555-53ce-b485-c9276fc560de,2015,6.98,1.25,registered_tonnage,,25.5,30.6,3f158e0f-5ebb-5461-9601-ae773712b78b,Official snapshot measurement.
acaf1295-5504-50ec-83eb-9fbc2d71a864,b4f95613-3aa0-5ea2-b294-fa8a8503b78a,2015,8.15,2.4,registered_tonnage,,26.0,33.705,2c88db2d-b48b-57c6-a1ba-8e2bf70277ec,Official snapshot measurement.
51827f0d-f97f-5edc-b5af-9716fa596a40,2ddb7cfb-5186-53e1-ab51-c371159684d2,2015,7.07,2.48,registered_tonnage,,22.0,27.504,ea243d48-3107-570f-891c-0b6b7eb4c5a8,Official snapshot measurement.
5c728093-754b-5f78-8c21-c0074f3719c3,dcbcc449-4316-5290-8efe-6164534ad083,2015,7.98,3.82,registered_tonnage,,150.0,93.036,5a31a9d3-4ea0-57f8-a053-6e17a8a5b696,Official snapshot measurement.
d8e1397e-5b87-5a37-8f85-20947bc790b6,b29c6358-48ad-5e61-b9b6-97ecf0fed826,2015,5.26,0.48,registered_tonnage,,7.4,15.638,0827a955-1ca9-5238-b058-3875f5ef580e,Official snapshot measurement.
f7bd9bad-e0db-51d8-b2d5-9dc143d216d4,8d868d2b-5a0f-5673-9562-41a7640fc80b,2015,8.72,4.39,registered_tonnage,,81.0,63.482,1b524b06-a443-5dca-a321-d3ef0748809e,Official snapshot measurement.
9d33a83b-2b99-5e8c-a4fc-4a95369780f0,dedc2280-515a-5d1e-9ee9-fe8ca7daaa67,2015,8.96,4.66,registered_tonnage,,57.0,55.487,f6a33309-35a2-528e-b008-e689d295044c,Official snapshot measurement.
