id,vessel_id,registration,port_mark,registration_number,start_year,end_year,date_text,is_primary,confidence,source_record_id
3fbbd9c7-6234-5b10-8151-6522926e1564,cf6e72d3-7825-523a-b71b-4cf5f71f1390,LK1,LK,1,,,,false,confirmed,
87e7043d-c5e8-580a-95d5-c793041cda31,00164da2-08f6-5fb3-810d-06c1f079a539,LK2,LK,2,,,,false,confirmed,
420b29fa-9772-5ebb-9df9-b67959dbbd99,aa895b8a-7cf4-5a42-bca7-7f48f65d9c4e,LK3,LK,3,,,,false,confirmed,
1512bd54-e95f-5ef8-884b-7b010ddadc39,190e626c-1e31-51e5-b0b3-844e12ba1631,LK4,LK,4,,,,false,confirmed,
75b7fb92-9e16-515f-9a8b-cd1c538fcbb5,22cceaf1-62b0-5f96-a4aa-60791ade8d9d,LK4,LK,4,,,,false,confirmed,
fb9d2e4e-65fd-5a45-895c-f7abd73f5a15,b90213ec-4c40-58a0-a304-ab77f968df96,LK5,LK,5,,,,false,confirmed,
4bbaf0c0-f7c6-5b25-aeea-43f49220c644,cffccb74-f09d-5f9c-b59b-1dfb4bdbee75,LK6,LK,6,,,,false,confirmed,
c5d8dae2-54cb-58b2-a3d7-7b85a23bd3b6,21bbca1a-5fc3-598e-96dd-a39e490bef39,LK7,LK,7,,,,false,confirmed,
6d58569c-42a7-55cd-b1bf-66732ae63514,68fadc0c-88aa-5c67-871b-f3151241e4a7,LK7,LK,7,,,,false,confirmed,
aecc65fb-028e-533b-ad4f-0076ad4f6ba3,7d12787a-2a2e-5b06-9eab-74cf3c5c56eb,LK8,LK,8,,,,false,confirmed,
4c6273d3-9f0a-5a2f-9a90-0ef74ff52510,a863f7a5-0807-53ae-9185-49d879509d66,LK9,LK,9,,,,false,confirmed,
a160a072-4397-5084-93be-618b0256af9c,b5938ed2-362b-5b0b-bad4-a26eb9265f03,LK10,LK,10,,,,false,confirmed,
a25ac486-e4f2-5d7d-8d2b-d966d0d3ed49,dcbcc449-4316-5290-8efe-6164534ad083,LK11,LK,11,,,,false,confirmed,
fd59ecf6-79d4-5fb4-a2f2-1566303851b3,7898bee0-9e64-52e0-a7ec-c4b0ea7f2e84,LK11,LK,11,,,,false,confirmed,
297a0fc5-beec-5c3f-9768-4b54723bed24,6b036bee-2401-52cf-aa28-1f94e9a92881,LK12,LK,12,,,,false,confirmed,
d1730467-2faf-5287-9ffa-1a605d71872b,6bfb369a-2060-5731-a015-a692a905382e,LK14,LK,14,,,,false,confirmed,
