id,vessel_key,canonical_name,primary_lk_number,built_year,built_decade,builder,yard_number,hull_material,country_of_build,status,identity_confidence,identity_notes,source_family
cf6e72d3-7825-523a-b71b-4cf5f71f1390,rss:B11171,BRILLIANT,LK1,1990,1990s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
00164da2-08f6-5fb3-810d-06c1f079a539,rss:C18940,MY QUEST,LK2,2006,2000s,,,S,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
aa895b8a-7cf4-5a42-bca7-7f48f65d9c4e,rss:B11270,UTILISE,LK3,,,,,W,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
190e626c-1e31-51e5-b0b3-844e12ba1631,rss:C16008,DRENGR,LK4,1983,1980s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
22cceaf1-62b0-5f96-a4aa-60791ade8d9d,rss:C20612,MARGARET ROSE,LK4,1962,1960s,,,W,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
b90213ec-4c40-58a0-a304-ab77f968df96,rss:B13533,FIDWAY,LK5,1992,1990s,,,F,IRL,,confirmed,Created from consolidated official/public register row.,official_register_base
cffccb74-f09d-5f9c-b59b-1dfb4bdbee75,rss:C17049,CEOL NA MARA,LK6,,,,,F,,,confirmed,Created from consolidated official/public register row.,official_register_base
21bbca1a-5fc3-598e-96dd-a39e490bef39,rss:A11853,HOPEFUL,LK7,1933,1930s,,,W,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
68fadc0c-88aa-5c67-871b-f3151241e4a7,rss:C21219,RAMNA,LK7,1990,1990s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
7d12787a-2a2e-5b06-9eab-74cf3c5c56eb,rss:C19861,GIRL ISLA,LK8,1988,1980s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
a863f7a5-0807-53ae-9185-49d879509d66,rss:C20216,FRANCIS J,LK9,1990,1990s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
b5938ed2-362b-5b0b-bad4-a26eb9265f03,rss:B14695,GIRL LYNSEY,LK10,1996,1990s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
dcbcc449-4316-5290-8efe-6164534ad083,rss:C17567,ENDEAVOUR,LK11,2002,2000s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
7898bee0-9e64-52e0-a7ec-c4b0ea7f2e84,rss:C21259,ENDEAVOUR,LK11,2019,2010s,,,F,ISL,,confirmed,Created from consolidated official/public register row.,official_register_base
6b036bee-2401-52cf-aa28-1f94e9a92881,rss:A12475,ANDERS,LK12,1986,1980s,,,F,EIR,,confirmed,Created from consolidated official/public register row.,official_register_base
6bfb369a-2060-5731-a015-a692a905382e,rss:A12393,AUDACIOUS,LK14,1978,1970s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
42039afd-4e25-54c5-ad27-7a5bc9e1f3fe,rss:C18035,AUDACIOUS,LK14,2003,2000s,,,F,ISL,,confirmed,Created from consolidated official/public register row.,official_register_base
bf43b176-75d3-5e02-883c-61f8a1d01635,rss:C18558,VALDAR,LK15,2005,2000s,,,F,GBR,,confirmed,Created from consolidated official/public register row.,official_register_base
